STATENAME,STATE,2017,2018,2019,AVG
ALABAMA,AL,0.15,0.29,0.3,0.2466667
ALASKA,AK,0.03,0.05,0.1,0.06
ARIZONA,AZ,6.04,6.17,6.6,6.27
ARKANSAS,AR,0.06,0.36,0.4,0.2733333
CALIFORNIA,CA,15.56,18.63,19.9,18.03
COLORADO,CO,2.67,3.17,3.2,3.0133333
CONNECTICUT,CT,1.34,1.64,1.9,1.6266667
DELAWARE,DE,1.96,2.77,3.2,2.6433333
DISTRICT OF COLUMBIA,DC,N/A,48.1,65,56.55
FLORIDA,FL,0.49,1.16,1.9,1.1833333
GEORGIA,GA,1.83,1.99,1.7,1.84
HAWAII,HI,10.77,11.6,12.6,11.6566667
IDAHO,ID,3.2,3.54,3.6,3.4466667
ILLINOIS,IL,0.06,0.09,0.1,0.0833333
INDIANA,IN,0.39,0.46,0.5,0.45
IOWA,IA,0.17,0.24,0.2,0.2033333
KANSAS,KS,0.04,0.07,0.1,0.07
KENTUCKY,KY,0.06,0.11,0.1,0.09
LOUISIANA,LA,0.21,0.23,0.1,0.18
MAINE,ME,0.45,0.61,1,0.6866667
MARYLAND,MD,3.06,3.05,3.6,3.2366667
MASSACHUSETTS,MA,7.75,11.14,12.7,10.53
MICHIGAN,MI,0.15,0.22,0.2,0.19
MINNESOTA,MN,1.31,2.36,2.8,2.1566667
MISSISSIPPI,MS,0.16,0.56,0.5,0.4066667
MISSOURI,MO,0.31,0.42,0.5,0.41
MONTANA,MT,0.12,0.23,0.2,0.1833333
NEBRASKA,NE,0.06,0.12,0.1,0.0933333
NEVADA,NV,11.05,12.45,13.7,12.4
NEW HAMPSHIRE,NH,0.49,0.65,0.7,0.6133333
NEW JERSEY,NJ,3.72,4.37,4.7,4.2633333
NEW MEXICO,NM,3.89,5.2,4.7,4.5966667
NEW YORK,NY,1.08,1.49,1.9,1.49
NORTH CAROLINA,NC,4.42,5.7,5.7,5.2733333
NORTH DAKOTA,ND,0,0,0,0
OHIO,OH,0.22,0.26,0.3,0.26
OKLAHOMA,OK,0.06,0.09,0.1,0.0833333
OREGON,OR,0.71,1.32,1.5,1.1766667
PENNSYLVANIA,PA,0.23,0.25,0.2,0.2266667
RHODE ISLAND,RI,1.4,1.83,3.1,2.11
SOUTH CAROLINA,SC,0.26,0.87,1.1,0.7433333
SOUTH DAKOTA,SD,0.03,0.03,0,0.02
TENNESSEE,TN,0.3,0.33,0.5,0.3766667
TEXAS,TX,0.62,0.87,1.1,0.8633333
UTAH,UT,6.11,7.09,6.6,6.6
VERMONT,VT,10.93,11.99,14,12.3066667
VIRGINIA,VA,0.47,1.09,1,0.8533333
WASHINGTON,WA,0.1,0.14,0.2,0.1466667
WEST VIRGINIA,WV,0.01,0.01,0,6.67E-03
WISCONSIN,WI,0.13,0.19,0.2,0.1733333
WYOMING,WY,0.01,0.02,0.5,0.1766667
