Location ID,Location,State Abbrev,2017,2018,2019,AVG
100,Alabama,AL,65,64.5,65.4,64.96666667
200,Arizona,AZ,63,62.3,60.3,61.86666667
300,Arkansas,AR,62.5,61.2,61.2,61.63333333
400,California,CA,60.3,60.1,58.4,59.6
500,Colorado,CO,47.9,47.2,45.2,46.76666667
600,Connecticut,CT,50.9,50.8,49.8,50.5
700,Delaware,DE,57.6,57.1,57.5,57.4
800,Florida,FL,72.8,72.3,73.2,72.76666667
900,Georgia,GA,65.8,65.1,66.2,65.7
1000,Idaho,ID,44.3,44.5,43,43.93333333
1100,Illinois,IL,54.4,52.5,52.1,53
1200,Indiana,IN,54,52.6,52.4,53
1300,Iowa,IA,50,47.5,46.8,48.1
1400,Kansas,KS,56.5,54.6,53.8,54.96666667
1500,Kentucky,KY,57.8,57,57.5,57.43333333
1600,Louisiana,LA,68.7,67.8,67.7,68.06666667
1700,Maine,ME,42.4,41.8,40.7,41.63333333
1800,Maryland,MD,56.7,55.9,56.6,56.4
1900,Massachusetts,MA,49.6,49.5,48.6,49.23333333
2000,Michigan,MI,46.3,45.1,44,45.13333333
2100,Minnesota,MN,42.6,40.6,39.3,40.83333333
2200,Mississippi,MS,65.8,64.8,65.2,65.26666667
2300,Missouri,MO,57.1,55.2,55,55.76666667
2400,Montana,MT,43.2,41.3,39.9,41.46666667
2500,Nebraska,NE,50.7,48.3,47.5,48.83333333
2600,Nevada,NV,52.2,52,49.9,51.36666667
2700,New Hampshire,NH,44.9,44.4,43.2,44.16666667
2800,New Jersey,NJ,54.6,54.2,54.3,54.36666667
2900,New Mexico,NM,56.4,55.5,54.5,55.46666667
3000,New York,NY,46.9,46.2,45.3,46.13333333
3100,North Carolina,NC,61,60.4,61.3,60.9
3200,North Dakota,ND,42,39.8,38,39.93333333
3300,Ohio,OH,53.2,52.2,52.4,52.6
3400,Oklahoma,OK,61.8,60.2,59.8,60.6
3500,Oregon,OR,48,48.4,47.2,47.86666667
3600,Pennsylvania,PA,50.6,49.8,49.8,50.06666667
3700,Rhode Island,RI,51.5,51.6,50.6,51.23333333
3800,South Carolina,SC,65.1,64.3,65,64.8
3900,South Dakota,SD,46.8,44.1,42.4,44.43333333
4000,Tennessee,TN,60,59.1,59.8,59.63333333
4100,Texas,TX,67.3,66,65.9,66.4
4200,Utah,UT,50.7,50.4,47.8,49.63333333
4300,Vermont,VT,43.8,43.2,42,43
4400,Virginia,VA,57.3,56.6,57.5,57.13333333
4500,Washington,WA,46.8,48,46.5,47.1
4600,West Virginia,WV,54,53.3,54.1,53.8
4700,Wisconsin,WI,44.7,43.2,42.2,43.36666667
4800,Wyoming,WY,43.2,42.4,40.3,41.96666667
